agent_id,agent_name,region,tier,registration_date,opening_cash_float
AGT00000,Agent 00000,Kanifing,standard,2025-02-24,23366.89
AGT00001,Agent 00001,Brikama,standard,2024-01-10,60550.08
AGT00002,Agent 00002,Ibadan,standard,2024-09-26,7383.7
AGT00003,Agent 00003,Kanifing,standard,2024-07-03,50151.4
AGT00004,Agent 00004,Ibadan,standard,2024-02-06,57599.37
AGT00005,Agent 00005,Abuja,standard,2024-04-08,25864.3
AGT00006,Agent 00006,Banjul,standard,2025-06-22,57360.45
AGT00007,Agent 00007,Lagos,standard,2025-04-26,76790.98
AGT00008,Agent 00008,Lagos,standard,2024-11-08,12253.73
AGT00009,Agent 00009,Lagos,standard,2023-08-29,8258.78
AGT00010,Agent 00010,Kano,standard,2024-11-10,10910.01
AGT00011,Agent 00011,Basse,standard,2024-03-09,71408.88
AGT00012,Agent 00012,Lagos,standard,2023-12-12,10216.64
AGT00013,Agent 00013,Farafenni,standard,2025-09-12,69148.83
AGT00014,Agent 00014,Kanifing,standard,2024-08-25,52676.33
AGT00015,Agent 00015,Lagos,standard,2024-12-04,20713.03
AGT00016,Agent 00016,Basse,standard,2024-01-03,53602.65
AGT00017,Agent 00017,Port Harcourt,standard,2024-06-04,59684.51
AGT00018,Agent 00018,Brikama,standard,2025-03-01,79214.25
AGT00019,Agent 00019,Ibadan,standard,2025-01-04,68213.89
AGT00020,Agent 00020,Banjul,standard,2025-10-31,65378.44
AGT00021,Agent 00021,Abuja,standard,2025-04-30,73485.21
AGT00022,Agent 00022,Port Harcourt,super_agent,2025-01-14,103156.64
AGT00023,Agent 00023,Kano,standard,2024-02-13,39413.89
AGT00024,Agent 00024,Basse,standard,2023-11-01,47102.61
AGT00025,Agent 00025,Basse,standard,2024-09-20,72336.72
AGT00026,Agent 00026,Abuja,standard,2025-07-14,43214.47
AGT00027,Agent 00027,Kanifing,standard,2025-08-12,16463.1
AGT00028,Agent 00028,Brikama,standard,2024-09-26,49730.68
AGT00029,Agent 00029,Abuja,standard,2024-08-10,44683.58
AGT00030,Agent 00030,Ibadan,super_agent,2025-11-21,220070.85
AGT00031,Agent 00031,Kanifing,standard,2024-06-01,61315.83
AGT00032,Agent 00032,Lagos,standard,2024-09-13,16861.83
AGT00033,Agent 00033,Banjul,super_agent,2023-11-27,115847.26
AGT00034,Agent 00034,Ibadan,standard,2024-07-01,73447.09
AGT00035,Agent 00035,Basse,standard,2024-07-01,50672.77
AGT00036,Agent 00036,Brikama,standard,2025-06-20,45453.43
AGT00037,Agent 00037,Ibadan,super_agent,2024-03-29,131039.01
AGT00038,Agent 00038,Banjul,standard,2024-11-26,70904.14
AGT00039,Agent 00039,Basse,standard,2025-03-31,70850.72
AGT00040,Agent 00040,Kanifing,standard,2024-07-23,66201.74
AGT00041,Agent 00041,Ibadan,standard,2025-07-24,54481.31
AGT00042,Agent 00042,Ibadan,standard,2024-06-10,70432.48
AGT00043,Agent 00043,Abuja,super_agent,2024-05-29,238816.3
AGT00044,Agent 00044,Farafenni,standard,2024-10-20,79636.2
AGT00045,Agent 00045,Lagos,standard,2024-06-21,38861.46
AGT00046,Agent 00046,Farafenni,standard,2024-12-21,6577.57
AGT00047,Agent 00047,Ibadan,standard,2025-04-21,5539.31
AGT00048,Agent 00048,Banjul,standard,2025-10-31,69472.66
AGT00049,Agent 00049,Kanifing,standard,2025-02-20,55173.33
AGT00050,Agent 00050,Farafenni,standard,2023-11-23,75163.57
AGT00051,Agent 00051,Port Harcourt,standard,2025-03-29,63846.46
AGT00052,Agent 00052,Abuja,standard,2025-08-25,54423.71
AGT00053,Agent 00053,Lagos,standard,2024-08-11,69787.76
AGT00054,Agent 00054,Banjul,standard,2024-02-10,12381.34
AGT00055,Agent 00055,Abuja,standard,2023-09-05,69625.44
AGT00056,Agent 00056,Farafenni,standard,2024-06-01,38646.02
AGT00057,Agent 00057,Abuja,standard,2024-08-16,23735.48
AGT00058,Agent 00058,Kanifing,standard,2024-05-18,12343.15
AGT00059,Agent 00059,Ibadan,standard,2025-08-29,74477.52
AGT00060,Agent 00060,Farafenni,standard,2024-07-23,41101.88
AGT00061,Agent 00061,Abuja,super_agent,2025-06-17,144743.28
AGT00062,Agent 00062,Abuja,standard,2023-09-22,63884.7
AGT00063,Agent 00063,Basse,standard,2023-11-15,79656.7
AGT00064,Agent 00064,Ibadan,standard,2024-07-22,16609.76
AGT00065,Agent 00065,Basse,standard,2025-10-04,48438.52
AGT00066,Agent 00066,Ibadan,standard,2025-01-15,9287.4
AGT00067,Agent 00067,Port Harcourt,standard,2024-06-07,16807.45
AGT00068,Agent 00068,Ibadan,standard,2025-05-26,10139.1
AGT00069,Agent 00069,Kanifing,standard,2025-04-06,35283.17
AGT00070,Agent 00070,Port Harcourt,standard,2024-04-03,7980.62
AGT00071,Agent 00071,Kanifing,standard,2024-04-14,47392.02
AGT00072,Agent 00072,Lagos,super_agent,2025-05-07,217431.49
AGT00073,Agent 00073,Lagos,standard,2024-10-23,14815.87
AGT00074,Agent 00074,Basse,standard,2023-10-25,75180.07
AGT00075,Agent 00075,Banjul,standard,2024-05-05,79707.23
AGT00076,Agent 00076,Kanifing,standard,2024-07-02,24890.03
AGT00077,Agent 00077,Lagos,super_agent,2025-03-27,142381.77
AGT00078,Agent 00078,Brikama,standard,2024-05-25,57765.49
AGT00079,Agent 00079,Port Harcourt,super_agent,2023-08-29,213494.08
AGT00080,Agent 00080,Banjul,standard,2024-05-14,27453.41
AGT00081,Agent 00081,Kanifing,super_agent,2025-07-18,116116.48
AGT00082,Agent 00082,Kanifing,standard,2025-06-26,25426.12
