customer_id,kyc_tier,home_region,registration_date
CUS0000000,tier_1,Abuja,2024-06-10
CUS0000001,tier_2,Abuja,2024-08-02
CUS0000002,tier_2,Kano,2025-11-22
CUS0000003,tier_2,Banjul,2024-01-15
CUS0000004,tier_1,Kanifing,2025-10-10
CUS0000005,tier_2,Farafenni,2024-11-18
CUS0000006,tier_2,Port Harcourt,2025-02-22
CUS0000007,tier_1,Kano,2025-05-11
CUS0000008,tier_2,Farafenni,2023-05-24
CUS0000009,tier_2,Lagos,2025-01-22
CUS0000010,tier_2,Kanifing,2025-01-30
CUS0000011,tier_3,Kanifing,2022-10-03
CUS0000012,tier_1,Basse,2022-10-09
CUS0000013,tier_2,Abuja,2023-10-11
CUS0000014,tier_3,Farafenni,2025-07-29
CUS0000015,tier_2,Farafenni,2025-06-06
CUS0000016,tier_2,Basse,2025-04-28
CUS0000017,tier_2,Port Harcourt,2025-10-08
CUS0000018,tier_1,Abuja,2023-12-04
CUS0000019,tier_1,Lagos,2025-12-06
CUS0000020,tier_2,Kano,2025-05-29
CUS0000021,tier_1,Lagos,2023-06-04
CUS0000022,tier_2,Abuja,2025-01-05
CUS0000023,tier_2,Basse,2022-12-25
CUS0000024,tier_2,Kano,2023-07-23
CUS0000025,tier_2,Port Harcourt,2024-06-30
CUS0000026,tier_1,Farafenni,2025-07-07
CUS0000027,tier_1,Kano,2024-08-19
CUS0000028,tier_2,Port Harcourt,2023-11-16
CUS0000029,tier_1,Kano,2024-03-06
CUS0000030,tier_1,Farafenni,2024-01-05
CUS0000031,tier_2,Lagos,2024-06-07
CUS0000032,tier_2,Basse,2022-11-19
CUS0000033,tier_1,Farafenni,2025-07-09
CUS0000034,tier_1,Abuja,2023-04-06
CUS0000035,tier_2,Farafenni,2023-05-01
CUS0000036,tier_2,Kano,2023-06-28
CUS0000037,tier_2,Kanifing,2024-05-08
CUS0000038,tier_1,Farafenni,2024-04-13
CUS0000039,tier_2,Lagos,2023-05-07
CUS0000040,tier_2,Lagos,2023-08-13
CUS0000041,tier_3,Ibadan,2024-02-23
CUS0000042,tier_1,Kano,2024-06-25
CUS0000043,tier_1,Farafenni,2025-04-28
CUS0000044,tier_2,Lagos,2025-05-01
CUS0000045,tier_2,Brikama,2024-12-04
CUS0000046,tier_1,Kano,2024-06-13
CUS0000047,tier_2,Ibadan,2024-05-31
CUS0000048,tier_3,Farafenni,2024-05-04
CUS0000049,tier_1,Brikama,2024-04-21
CUS0000050,tier_1,Ibadan,2025-04-16
CUS0000051,tier_1,Banjul,2022-11-24
CUS0000052,tier_1,Brikama,2023-04-01
CUS0000053,tier_1,Banjul,2022-10-13
CUS0000054,tier_1,Kano,2023-07-13
CUS0000055,tier_1,Banjul,2024-08-01
CUS0000056,tier_3,Kano,2025-05-12
CUS0000057,tier_2,Abuja,2023-03-30
CUS0000058,tier_1,Banjul,2025-02-24
CUS0000059,tier_1,Port Harcourt,2024-04-18
CUS0000060,tier_1,Farafenni,2025-05-03
CUS0000061,tier_2,Abuja,2024-09-25
CUS0000062,tier_2,Abuja,2023-06-23
CUS0000063,tier_3,Basse,2023-08-06
CUS0000064,tier_1,Port Harcourt,2025-08-30
CUS0000065,tier_2,Kanifing,2024-11-01
CUS0000066,tier_2,Basse,2025-07-18
CUS0000067,tier_1,Brikama,2022-11-27
CUS0000068,tier_1,Banjul,2023-09-17
CUS0000069,tier_1,Port Harcourt,2023-05-14
CUS0000070,tier_1,Farafenni,2024-05-20
CUS0000071,tier_2,Kano,2025-08-08
CUS0000072,tier_2,Basse,2024-11-21
CUS0000073,tier_1,Ibadan,2024-09-27
CUS0000074,tier_2,Basse,2025-03-15
CUS0000075,tier_1,Brikama,2024-04-11
CUS0000076,tier_2,Port Harcourt,2024-05-19
CUS0000077,tier_1,Kano,2024-04-18
CUS0000078,tier_2,Basse,2023-03-13
CUS0000079,tier_1,Kano,2025-07-20
CUS0000080,tier_2,Abuja,2024-03-11
CUS0000081,tier_2,Banjul,2025-06-27
CUS0000082,tier_1,Port Harcourt,2025-11-19
CUS0000083,tier_3,Basse,2022-10-08
CUS0000084,tier_1,Brikama,2023-05-13
CUS0000085,tier_1,Kano,2024-06-10
CUS0000086,tier_1,Port Harcourt,2023-07-23
CUS0000087,tier_2,Kano,2025-06-28
CUS0000088,tier_1,Abuja,2024-02-18
CUS0000089,tier_1,Kanifing,2025-02-05
CUS0000090,tier_1,Kano,2024-05-20
CUS0000091,tier_2,Abuja,2022-12-01
CUS0000092,tier_1,Kanifing,2024-03-27
CUS0000093,tier_1,Kanifing,2023-09-26
CUS0000094,tier_2,Banjul,2022-12-16
CUS0000095,tier_1,Banjul,2024-12-12
CUS0000096,tier_1,Port Harcourt,2023-03-17
CUS0000097,tier_2,Banjul,2024-11-10
CUS0000098,tier_1,Brikama,2024-05-21
CUS0000099,tier_1,Kano,2025-04-27
CUS0000100,tier_1,Port Harcourt,2024-08-28
CUS0000101,tier_2,Basse,2022-11-29
CUS0000102,tier_1,Abuja,2025-06-24
CUS0000103,tier_1,Kanifing,2023-05-31
CUS0000104,tier_3,Brikama,2023-03-17
CUS0000105,tier_3,Basse,2023-02-23
CUS0000106,tier_2,Abuja,2023-04-18
CUS0000107,tier_3,Farafenni,2023-06-10
CUS0000108,tier_2,Abuja,2024-12-06
CUS0000109,tier_3,Ibadan,2025-03-27
CUS0000110,tier_2,Basse,2023-09-04
CUS0000111,tier_1,Ibadan,2024-07-02
CUS0000112,tier_2,Basse,2024-04-29
CUS0000113,tier_2,Port Harcourt,2023-04-04
CUS0000114,tier_2,Kano,2022-12-24
CUS0000115,tier_1,Lagos,2022-11-27
CUS0000116,tier_2,Abuja,2023-06-13
CUS0000117,tier_3,Farafenni,2024-08-29
CUS0000118,tier_2,Farafenni,2023-09-12
CUS0000119,tier_1,Kano,2023-11-12
CUS0000120,tier_1,Brikama,2023-03-23
CUS0000121,tier_3,Brikama,2023-03-09
CUS0000122,tier_3,Lagos,2025-06-09
CUS0000123,tier_2,Kano,2025-06-10
CUS0000124,tier_1,Kano,2025-11-30
CUS0000125,tier_2,Abuja,2025-02-18
